TimeStep,Probe1_Ez,Probe2_Ez
626,0.00668457,0.0871462
627,0.00830966,0.072233
628,0.0110038,0.0580692
629,0.0122004,0.0463576
630,0.00947408,0.0376236
631,0.00159973,0.0308566
632,-0.0107222,0.0237225
633,-0.0248359,0.0134672
634,-0.0369217,-0.00173797
635,-0.043377,-0.021588
636,-0.0422448,-0.0432354
637,-0.0340545,-0.0620598
638,-0.0216507,-0.0734381
639,-0.00903732,-0.0747816
640,0.000266388,-0.0668685
641,0.00460345,-0.0537514
642,0.00465867,-0.0411795
643,0.00284441,-0.0342101
644,0.00193698,-0.0351162
645,0.0036629,-0.0425657
646,0.00792442,-0.0524212
647,0.0129945,-0.0597069
648,0.0165057,-0.0607454
649,0.016676,-0.0544583
650,0.013148,-0.0423367
651,0.00707113,-0.0273153
652,0.000471029,-0.0123084
653,-0.00470408,0.000776885
654,-0.00736767,0.0111436
655,-0.00757132,0.0185099
656,-0.0062357,0.0224082
657,-0.00456522,0.0219655
658,-0.00348008,0.0163639
659,-0.00331878,0.00568156
660,-0.00387816,-0.00847476
661,-0.00468374,-0.0230402
662,-0.00530461,-0.03435
663,-0.00555708,-0.0394042
664,-0.00553332,-0.0369195
665,-0.00548471,-0.0276685
666,-0.00564435,-0.0139962
667,-0.00608333,0.00118323
668,-0.00667044,0.0153906
669,-0.00715705,0.027158
670,-0.00734794,0.0360416
671,-0.00726425,0.0422422
672,-0.00718867,0.0461572
673,-0.00753222,0.0481195
674,-0.00856712,0.0483921
675,-0.0101756,0.0473008
676,-0.011792,0.0453239
677,-0.0126241,0.0430237
678,-0.0120655,0.0408382
679,-0.0100664,0.0388491
680,-0.00722163,0.0366702
681,-0.0044918,0.0335386
682,-0.00270721,0.0285966
683,-0.00215388,0.0212743
684,-0.00249955,0.0116339
685,-0.00309614,0.000540263
686,-0.0034429,-0.0104382
687,-0.00348703,-0.019411
688,-0.00355617,-0.0247364
689,-0.00398197,-0.0255879
690,-0.00469884,-0.0222893
691,-0.00512629,-0.0162498
692,-0.00444516,-0.00949014
693,-0.00209634,-0.00393796
694,0.0018351,-0.000783886
695,0.0066188,-0.0001715
696,0.0112707,-0.00132991
697,0.0150789,-0.00304582
698,0.0179141,-0.00422301
699,0.0201227,-0.00427316
700,0.0220908,-0.00321246
701,0.0237969,-0.00151255
702,0.0246863,0.000137867
703,0.0239821,0.00101832
704,0.0212475,0.000470514
705,0.016825,-0.00203489
706,0.0118303,-0.00677577
707,0.00765491,-0.0135946
708,0.00524022,-0.0217549
709,0.00455193,-0.0299829
710,0.00457851,-0.0367699
711,0.00387564,-0.0408565
712,0.00135792,-0.0416832
713,-0.00310306,-0.0395729
714,-0.0085963,-0.0355294
715,-0.0136268,-0.0307374
716,-0.0168364,-0.0260165
717,-0.0176016,-0.0215059
718,-0.0162285,-0.0167303
719,-0.0137171,-0.0109925
720,-0.0112844,-0.00386408
721,-0.00990982,0.00449127
722,-0.0100758,0.0133196
723,-0.0117269,0.0215779
724,-0.0143609,0.0283503
725,-0.0171693,0.0331527
726,-0.0191999,0.0359833
727,-0.0195658,0.0371313
728,-0.0176996,0.0368908
729,-0.0135826,0.0353608
730,-0.00783115,0.0324448
731,-0.00155833,0.0280267
732,0.00396395,0.0221974
733,0.00770213,0.0153827
734,0.00914023,0.00829878
735,0.00833151,0.0017723
736,0.00574234,-0.00345843
737,0.00201397,-0.00685814
738,-0.00221498,-0.00810193
739,-0.00635618,-0.00704241
740,-0.00982768,-0.00372821
741,-0.0120218,0.0014985
742,-0.0123714,0.00790149
743,-0.0105184,0.0143798
744,-0.00649812,0.0197086
745,-0.000820196,0.0229307
746,0.00563403,0.0237028
747,0.011875,0.0223746
748,0.0171151,0.0197178
749,0.0209752,0.0164359
750,0.023491,0.0127494
751,0.0249277,0.00832507
752,0.0255238,0.00261386
753,0.0253181,-0.00461284
754,0.0241614,-0.0128822
755,0.0218957,-0.0210664
756,0.0185723,-0.0278538
757,0.0145542,-0.0323618
758,0.0104203,-0.0345057
759,0.00671694,-0.0348984
760,0.00370667,-0.0343657
761,0.00126843,-0.0334155
762,-0.000987088,-0.0320178
763,-0.00345498,-0.0298246
764,-0.00627897,-0.0266427
765,-0.00924122,-0.022789
766,-0.0118486,-0.019039
767,-0.0135564,-0.0161653
768,-0.0140115,-0.0143631
769,-0.0132082,-0.0129585
770,-0.0115091,-0.0106316
771,-0.00954002,-0.0060686
772,-0.00799729,0.00131274
773,-0.00741348,0.0109641
774,-0.00793516,0.0213428
775,-0.00918452,0.0304958
776,-0.0102849,0.0367842
777,-0.0100968,0.0394115
778,-0.00762626,0.0385648
779,-0.00246796,0.0351897
